Created at,User,Tweet,ID,Number of Retweets,Number of likes,Source,Location
2022-10-09 09:08:23+00:00,MoodOfBig,@aliyahInterlude Matcha by itself is nasty! Especially if the drink is cold cuz the match powder doesn’t dissolve p… https://t.co/g89GyjybrH,1.57904E+18,0,8,Twitter for iPhone,Primordial Soup (He/him?)
2022-10-09 08:56:47+00:00,bonvertain,@ssefnum Did you have any fav's drink? (Exc. Kopi susu gula aren) Mine is caramel n matcha! But i'd rather to choos… https://t.co/Kj92TGK9sJ,1.57903E+18,0,0,Twitter for Android,unlabeled
2022-10-09 08:32:58+00:00,FuchsFeuer22763,"There are so many great creations hidden in dreamshaping. By chance I came across ""Matcha Crepe Cake"" by youplabooo… https://t.co/yUNJcNyWVk",1.57903E+18,0,0,Twitter Web App,"Hamburg, Deutschland"
2022-10-09 08:04:54+00:00,veefromthevault,I got a reading outfit today. In the mood for a cafe read and a matcha drink…… would feel so good rn :((,1.57902E+18,0,0,Twitter for iPhone,"Arlington, TX"
2022-10-09 07:49:17+00:00,febsal_,trying to come to terms w the fact that i will never love another matcha drink than the last matcha latte recipe fr… https://t.co/n1UbWgcMeO,1.57902E+18,0,1,Twitter for Android,
2022-10-09 07:36:31+00:00,ChronHib,"@BigBisonHead @MarieTheuerkauf @NiksTeas And of course foamy matcha.
Unfortunately, I can hardly ever drink tea aft… https://t.co/8bekGXrp9F",1.57901E+18,0,2,Twitter Web App,Maynooth University
2022-10-09 07:26:20+00:00,moiltishipper,"took me ages to figure out my answers djdjdjdj

Food: Sinigang and Cacio e pepe
Drink: Matcha Latte and Orange Juic… https://t.co/FVZ64iY8d0",1.57901E+18,0,2,Twitter for Android,breakdown city
2022-10-09 06:56:51+00:00,jungwonmtc,we drink matcha togther?! https://t.co/M77vvu9kgO,1.579E+18,0,0,Twitter for iPhone,matcha’s (not!) 정원
2022-10-09 06:53:15+00:00,crow0696,had sips of matcha ruined my straw and now i cant finish my drink ill start doing this when im binging so i never f… https://t.co/PQURDA2wGQ,1.579E+18,0,0,Twitter for iPhone,
2022-10-09 06:08:14+00:00,KUS0_YAROU,@7nighthawk_gast A!! ANIJA’S ANIJUICE!! THE SECRET TO BECOMING KAKOI! PAPAUE PROUD! CALLS YOU CHAMP! ANIKING!! also… https://t.co/xoUn8iejgO,1.57899E+18,0,1,Twitter for iPhone,Me? Gongaga.
2022-10-09 04:46:20+00:00,Takagame426,"I went to MILK COW today and it was sooooo good 🤤🤤🤤

#milkcow #matcha #drink #LA https://t.co/frCts4qc6d",1.57897E+18,0,0,Twitter for iPhone,
2022-10-09 03:39:06+00:00,athenavega_,iced matcha &amp; expresso fusion + 1 pump vanilla syrup is my new study drink 🍵,1.57895E+18,0,1,Twitter for iPhone,up manila college of pharmacy
2022-10-09 03:32:27+00:00,Helix_VA,"Thanks Althea for the tag!

Height: 5'9, 175cm
Zodiac: Gemini♊️♊️
Tattoos: None (for now)
Color: Black/Purple💜
Drin… https://t.co/nTVoOFQ8Bd",1.57895E+18,0,3,Twitter Web App,outer space 🌌
2022-10-09 02:02:24+00:00,only_cocoanne,"Also, my new favorite go to drink may just be a dirty matcha. Oat milk of course.",1.57893E+18,0,1,Twitter for iPhone,crowd surfing in a cypher
2022-10-09 01:10:27+00:00,moiltishipper,"@creativelyblank i personally really like their matcha latte, matcha frappe, and java chip frappe. for foods, i enj… https://t.co/gn6BecUDpl",1.57892E+18,0,1,Twitter for Android,breakdown city
2022-10-09 00:47:36+00:00,rosaliesbigeyes,@moonlovereyes yes exactly ! i only drink matcha made by me cause i’m the best at it,1.57891E+18,0,1,Twitter for iPhone,5’1 cw:96lb gw:90lb ugw:80lb
2022-10-09 00:38:41+00:00,earth2ami,i remember when i was younger and i walked into starbucks not knowing what matcha was called and i kept calling it… https://t.co/PwfvQZbHPL,1.57891E+18,0,0,Twitter for iPhone,"Brooklyn, NY"
2022-10-09 00:26:12+00:00,AmirShavon,I really drink all my matcha in .02 seconds,1.5789E+18,0,0,Twitter for iPhone,"Los Angeles, CA"
2022-10-09 00:14:23+00:00,aboy_bug,@theferocity Every place I've worked as a barista there's a drink that everyone on staff knows = high maintenance.… https://t.co/DvgTS8AP3V,1.5789E+18,0,12,Twitter Web App,
2022-10-08 23:51:26+00:00,jtsmith44,"@Kaladas_ At this point, I only drink green. Matcha included, ofc. 
Matcha ice cream and popsicles are delicious!",1.5789E+18,0,0,Twitter for iPhone,"San Diego, CA"
2022-10-08 23:00:03+00:00,billih123,@JoeEspo72882220 @abra_cadabra600 @Judy57926923 @DavidBuehrle7 I don't drink much soda but I am a total caffeine ju… https://t.co/kft3es6sAu,1.57888E+18,0,3,Twitter for Android,
2022-10-08 22:34:37+00:00,whatamithinkinq,OMG TWITTER RANT FR so to start off i went to starbucks at like 11:45 this morning to get my lovely chai tea BUT GU… https://t.co/7gjSWOUMFh,1.57888E+18,0,0,Twitter for iPhone,
2022-10-08 22:00:09+00:00,Rambobobobo11,@C_Thexplorer Looking for a good matcha drink in Morocco? Check out @cafematcha_ma for a delicious and refreshing cup of green tea!,1.57887E+18,0,1,Twitter Web App,
2022-10-08 21:46:53+00:00,SchimmelDwaekki,"11. Chai latte usually. Or matcha latte. Very simple stuff, since i usually just drink Black coffee, i dont need St… https://t.co/64g4NEyXMA",1.57886E+18,0,0,Twitter for Android,
2022-10-08 21:25:02+00:00,NRXTIME,@k1mk4tt drink matcha it tastes better,1.57886E+18,0,0,Twitter Web App,In A world they didnt make
2022-10-08 20:43:10+00:00,wombateule,"Tagged by @whxsperofsprxng 💖

Fav food: semolina pudding 🍮
Fav drink: matcha tea 🍵
Fav season: autumn and spring 🍂🌷… https://t.co/CEgXiF1hcs",1.57885E+18,0,0,Twitter for Android,Dying Dreamland
2022-10-08 20:19:30+00:00,barkadoofficial,"@JessCaptureMe girl, she even wants to drink matcha. who is she??? she tore that breakfast up!",1.57884E+18,0,1,Twitter for iPhone,
2022-10-08 20:07:39+00:00,_Leahlives,Pink drink w matcha cold foam &gt;&gt;,1.57884E+18,0,0,Twitter for iPhone,
2022-10-08 19:36:38+00:00,bigdaddicain,why did this girl at starbucks use their entire stock of matcha for my drink? God damn this shit thicc lmao,1.57883E+18,0,4,Twitter for iPhone,Bay Area 
2022-10-08 18:49:59+00:00,venushasdied,Wake up drink matcha girl boss sleep,1.57882E+18,0,11,Twitter for iPhone,
2022-10-08 18:30:08+00:00,toastpilled,"@need2dai starbucks matcha really pushes the line for me, i’ll drink it but with dissatisfaction",1.57882E+18,0,0,Twitter for iPhone,blkedtwt | 16 | 🇨🇩
2022-10-08 18:15:32+00:00,Nancytheecatt,I just want to drink my matcha by myself on the couch and everyone keeps calling mom,1.57881E+18,0,0,Twitter for iPhone,
2022-10-08 18:01:20+00:00,1MKAURA,Do you drink Matcha Tea? Want to learn how you can make it at home? Check out this link... https://t.co/nY4YDiuMnh https://t.co/fN5PXt5pro,1.57881E+18,0,0,IFTTT,"Calgary, Alberta"
2022-10-08 17:49:03+00:00,5starshortyy,the purple drink from Cha Cha Matcha 🤌🏽,1.5788E+18,0,0,Twitter for iPhone,"New York, NY"
2022-10-08 17:46:24+00:00,benana1997,Lol at seeing my cholo ass cousin post an IG story of him with his avocado toast and a matcha drink.,1.5788E+18,0,0,Twitter for Android,"Los Angeles, CA"
2022-10-08 17:37:35+00:00,alicetheegreat,"I drink matcha, but I enjoy coffee. Big difference. 😆",1.5788E+18,0,0,Twitter for iPhone,"Los Angeles, CA"
2022-10-08 17:18:09+00:00,_dingkay,"@dinzlee Thank you for this, ma'am Dinz! ❤️ Naa kay go-to Matcha drink? Hihi",1.5788E+18,0,0,Twitter for Android,"Mati, Philippines"
2022-10-08 17:11:27+00:00,iamadamwright,@Goody_NFT I have a matcha tea company and we sell a bunch of it to people looking to cut down on caffeine &amp; have a… https://t.co/5LqrTd7mOB,1.5788E+18,0,1,Twitter for iPhone,"Miami, FL"
2022-10-08 16:43:20+00:00,sweetpotatoeypi,Why do I feel bad for sending back my drink at brunch. I ordered an iced matcha and the server even confirmed that… https://t.co/6iI14e2Ox8,1.57879E+18,0,1,Twitter for iPhone,"Indianapolis, IN"
2022-10-08 16:36:56+00:00,kayristar,"Hello taggy

Height: 5'4""
Zodiac: Sagittarius :) 
Tattoos: No but if i dare i will someday 
Fav colour: purple, bla… https://t.co/wu8o0O3irQ",1.57879E+18,0,1,Twitter for Android,Dragon's Brew
2022-10-08 16:28:12+00:00,mitziixoxo,"Catching up on my tags, thanks for the tag @izeluvnuggetss !! Love uu

Height = 5’4” (abt 163cm)
Zodiac = Sagittari… https://t.co/ClPJxKcHOp",1.57878E+18,0,1,Twitter for iPhone,"Clowntown, USA"
2022-10-08 16:03:37+00:00,TheUnsocialbrat,"Goodnight to Sunshine #JamesSu , #chuchuboi and Chuchu's papa #netsiraphop .

Have a beautiful night lovelies and s… https://t.co/7rTfoQp191",1.57878E+18,0,0,Twitter for Android,She/Her
2022-10-08 15:54:24+00:00,blkcoffeecvnt,hi yes so ik it's prob common knowledge that green tea helps w bloat but my stupid ass totally forgot &amp; after 2 dou… https://t.co/s7M9GZXdWr,1.57878E+18,0,6,Twitter for iPhone,
2022-10-08 15:50:03+00:00,i00190s,i cant believe some of you have the ability to drink matcha,1.57877E+18,0,0,Twitter for iPhone,
2022-10-08 15:37:53+00:00,fashosocareless,How do y’all drink matcha ?,1.57877E+18,0,1,Twitter for iPhone,"Virginia, USA"
2022-10-08 15:13:23+00:00,chimammeje,"@SarahSal9 Still building up courage to try a full matcha drink😂
I do a smoothie with apples and kiwi",1.57877E+18,0,0,Twitter for Android,NoneYaBiznis
2022-10-08 15:12:41+00:00,cincinnamxn,"Forget coffee, matcha is my new fav drink fr fr",1.57877E+18,0,1,Twitter for iPhone,bomi ♡ᵎ
2022-10-08 14:54:19+00:00,KanikouEstellia,"Hehe thanks for tag~
Height: 6'3 / 191cm (Measured just now to double check)
Zodiac: Virgo
Tattoos: 2.
Favorite Col… https://t.co/Ql3kWxfm7l",1.57876E+18,0,2,Twitter Web App,A Comfy Chair somewhere
2022-10-08 14:50:08+00:00,RagingLibNana,"Try a healthy drink to perk up your day!

Iced Matcha Latte 😘
Ingredients:
12 oz Milk of choice.  I like Oak milk… https://t.co/L16MaaZcq9",1.57876E+18,0,3,Twitter for iPad,"Clearwater County, Alberta"
2022-10-08 14:28:25+00:00,foxnilla,"My Faves:
🥞Food: tie between udon and ramen 
🍷Drink: green tea/matcha
💜Colour: Pink
🥀Season: Fall
🖤Anime: gintama… https://t.co/xH7avqicmu",1.57875E+18,0,3,Twitter for iPhone,
2022-10-08 14:20:36+00:00,evaaaamercy,I literally shat that matcha drink 😭,1.57875E+18,0,1,Twitter for iPhone,moon
2022-10-08 13:57:10+00:00,HlalShyryn,"#mzdao 
To prevent winter diseases, you should eat the most important natural healthy foods ، drinks:honey, dates,b… https://t.co/EpOMeOwq3c",1.57875E+18,0,3,Twitter for Android,مصر
2022-10-08 13:21:43+00:00,xerocooleth,"@decircusmaster I usually do pearls and sago or like aloe jelly and sago or QQ

And then flavor is taro or matcha t… https://t.co/lihlBMAuf9",1.57874E+18,0,1,Twitter for iPhone,
2022-10-08 13:20:29+00:00,random_moi_5,I want a drink other than coffee &amp; matcha,1.57874E+18,0,0,Twitter for iPhone,
2022-10-08 13:16:53+00:00,llaurynme,mixed matcha and a hot chocolate packet a high vibrational drink im telling you,1.57874E+18,0,2,Twitter Web App,she/her ☆ 15
2022-10-08 13:06:34+00:00,hillonthehills,@siwlinda You look ready to blast taylor swift and drink matcha,1.57873E+18,0,2,Twitter for iPhone,on tour with paramore they/she
2022-10-08 12:49:59+00:00,TonyJam15657203,@NickAdamsinUSA I don’t drink chai soy matcha I drink coffee but despise the orange racist man that u adore,1.57873E+18,0,0,Twitter for iPhone,"Brooklyn, NY"
2022-10-08 12:42:04+00:00,WeLoveAmazon777,"METCHA MATCHA

🌸https://t.co/yrj2YoUohf

A literature review published in the journal Japanese Medicine asserts tha… https://t.co/nQvX1iGQx6",1.57873E+18,0,0,Botbird tweets,United States
2022-10-08 12:39:36+00:00,MissBria313,I will drink iced matcha lattes all year round.,1.57873E+18,0,0,Twitter for iPhone,"Detroit, MI"
2022-10-08 12:31:30+00:00,RuthyCabrera_,I love anything Matcha! I can drink this forever. 😋🍵💚 https://t.co/r9rBijoNMJ,1.57872E+18,0,1,Twitter for Android,"Quezon City, Philippines"
2022-10-08 11:34:16+00:00,DokuganBAKA,"So much good food ✧*｡

After work was done we sat down in a café in Osu and had an “otsukaresama” cheesecake and ma… https://t.co/1Gp79LxgID",1.57871E+18,0,45,Twitter for iPhone,東京 • 日本
2022-10-08 11:25:57+00:00,christixnpu,clout chaser ng matcha drink @rhiyannarist_ @trjstan_,1.57871E+18,0,2,Twitter for Android,'08
2022-10-08 11:11:41+00:00,MN_RKO,@ahhsss__ 100% pure ass people who drink Matcha are lying to themselves,1.5787E+18,0,1,Twitter for iPhone,Soul Society
2022-10-08 11:09:28+00:00,_riechann__,@TearsofThemisEN I want to go to hoyofest ID and choose vyn's set meal! because I like spaghetti carbonara and matc… https://t.co/roTnUwy9p7,1.5787E+18,0,0,Twitter Web App,Twitter
2022-10-08 09:53:32+00:00,AlberlynTejeda,i would neverrrrrr drink matcha again ew ew ew taste like grass idk how ik what grass taste like but if grass taste… https://t.co/FyjYo5x51Q,1.57869E+18,0,0,Twitter for iPhone,A lil town near you
2022-10-08 09:03:40+00:00,Lucius_Askeladd,"tagged by Mayora @raci_azure

Fav Food: Lechon Baboy, Potatoes, Roasted Beef and alot more lmao
Fav Drink: Blueberr… https://t.co/wGe9wW8zod",1.57867E+18,0,1,Twitter for Android,Teyvat
2022-10-08 08:47:36+00:00,raci_azure,"tagged by Ate Riel &lt;3

Fav Food: as long as it has veggies
Fav Drink: any matcha flavored
Fav Season: 🌸🌸🌸
Fav Color… https://t.co/kaZtZdRrpu",1.57867E+18,1,9,Twitter Web App,"Liyue, Teyvat"
2022-10-08 08:00:00+00:00,matcha_sadou,"In Japanese tea ceremony, it is not just a ceremony drink tea.
Guests and hosts need knowledge and experience,both.… https://t.co/OsTrzxxDnz",1.57866E+18,0,8,Twitter Web App,東京 千代田区
2022-10-08 06:51:35+00:00,alexavndrarh,@kidnamedseb matcha is better in terms of caffeine bc you won’t crash like when you drink coffee,1.57864E+18,0,1,Twitter for iPhone,"San Diego, CA"
2022-10-08 06:39:07+00:00,zxvxctlr,still convincing myself to drink matcha instead of coffee kasi grabe na yung acid response ko sa coffee 😃,1.57864E+18,0,0,Twitter for Android,"Central Luzon, Republic of the"
2022-10-08 06:34:58+00:00,alkndym,Going to try Starbucks matcha drink and I’m actually excited!!,1.57864E+18,0,0,Twitter for iPhone,"Dubai, United Arab Emirates"
2022-10-08 06:30:41+00:00,aerbnbrie,i wanna drink iced matcha why’s the sb here not 24 hrs :/,1.57863E+18,0,1,Twitter for iPhone,
2022-10-08 04:59:34+00:00,dIwIuvr,gonna drink matcha cream at starbs 👍‼ https://t.co/yryTKx29JF,1.57861E+18,0,1,Twitter for Android,"15 any pronouns 
filo/eng ok !"
2022-10-08 04:16:26+00:00,vtuber_alt,"@__rrll_ - Oolong is a very smooth black tea
- Matcha is a green tea with very unique and very healthy properties a… https://t.co/VpGGfkgPTV",1.5786E+18,0,2,Twitter for Android,
2022-10-08 04:06:23+00:00,hikikowolfie,"24. Coffee or tea?
I rarely drink coffee. I love black tea and matcha! 😋",1.5786E+18,0,0,Twitter for Android,a forest somewhere idk
2022-10-08 04:02:30+00:00,myeleena,Matcha? Coffee? Im going to drink it every time,1.5786E+18,0,0,Twitter for iPhone,
2022-10-08 03:54:06+00:00,scrimpp,"@dweebs_r_us pink drink, caramel macchiato, matcha latte, iced white mocha, and dragon fruit refresher with lemonade",1.57859E+18,1,5,Twitter for iPhone,19
2022-10-08 03:46:59+00:00,livinfic,"i am EXCITEDD

AS AN AVID MATCHA LOVER, I MUST HAVE VYN'S DRINK https://t.co/8H4Qj7iXSm",1.57859E+18,1,8,Twitter for Android,
2022-10-08 03:23:46+00:00,Iggy__TG,I want to be the third in a matcha latte and pink drink couple,1.57859E+18,0,2,Twitter for iPhone,𓆏 22 | he/him | tamil 𓆏 
2022-10-08 03:21:47+00:00,rispsyop,@pinkshomo i drink matcha for this reason but i cannot stand the taste of it,1.57859E+18,0,0,Twitter for iPhone,any | entp 8w7 |
2022-10-08 03:19:51+00:00,RadioHead_Hater,@Tiantangdixia I don't usually drink oolong but I remember it tasting good when I've had it. Matcha is a good flavo… https://t.co/ztbZq1JtMr,1.57859E+18,0,0,Twitter Web App,
2022-10-08 01:59:37+00:00,meleneeee,"@twicesfruity I didn’t drink matcha today, should I get that or another coffee?",1.57857E+18,0,0,Twitter for iPhone,the san fernando valley
2022-10-08 01:17:25+00:00,HoodieZak,Hot take any matcha drink is overrated,1.57856E+18,0,2,Twitter for iPhone,"Colorado, USA"
2022-10-08 01:15:45+00:00,ChayaJoslyn,"Fav Food: Matzo Ball Soup &amp; Tofu Pad See Ewe
Fav Drink: Matcha tea &amp; raspberry juice
Fav Season: Fall
Fav Color: Fo… https://t.co/4M3YaqU2CB",1.57855E+18,1,6,Twitter for Android,
2022-10-08 00:13:07+00:00,sincerely_steff,Highly recommend the Pumpkin Patch drink from Starbucks. It’s chai with pumpkin sauce topped with matcha foam. Really good!,1.57854E+18,0,0,Twitter for iPad,Texas
2022-10-08 00:10:11+00:00,ranye_west_,@zlovesmahi I hope they put grass instead of matcha in ur drink☝️,1.57854E+18,0,2,Twitter for iPhone,
2022-10-07 23:58:31+00:00,acnhmist,"5 tags 5 favs
 nominated by 
@Lee_Marston_

Food: Mexican and Italiaaaaaaaan
Drink: Matcha Frap and Rootbeer
Colour… https://t.co/ueUC1eJ4IV",1.57854E+18,0,2,Twitter Web App,
2022-10-07 23:19:40+00:00,yassbombs,@YooaBoA at first i got a matcha tea latte cus the worker said it tasted grassy and i love nasty vegetable stuff bu… https://t.co/E8a9FDCTZx,1.57853E+18,0,1,Twitter for iPhone,ifb
2022-10-07 23:10:56+00:00,quadkorps,"@BoysBaltic Even less per serving I'm sure, I drink My morning Matcha for,,, I should calculate it more precisely b… https://t.co/i94E7n7Ed6",1.57852E+18,0,0,Twitter Web App,"Washington, DC"
2022-10-07 22:05:59+00:00,hissasays,"literally!! if you don’t enjoy drinking matcha good for you, no one is forcing u to drink it. stop making people fe… https://t.co/8q60dzLT1v",1.57851E+18,1,1,Twitter for iPhone,20 | she/her/هي | likes≠love
2022-10-07 21:49:24+00:00,Niallxx21,"@kellyxzhang Ohh, may I know what’s that drink? 👀 I’ve never heard of Vt Matcha Frappucino 🫣",1.5785E+18,0,0,Twitter for iPhone,「  #童しの is canon 」
2022-10-07 21:22:03+00:00,m_valeryy,"i hate when my matcha drink doesn’t come out good, it’s like it dictates how i’m going to have my day",1.5785E+18,0,0,Twitter for iPhone,
2022-10-07 21:11:56+00:00,sliccmic,people who drink coffee are rancid people who drink matcha are genius,1.57849E+18,9,109,Twitter Web App,Flat earth
2022-10-07 20:54:16+00:00,carinosuh,.@BobaGuys WANTS to poison nctzens because who tf came up with the idea of charcoal?? banana and black sesame sound… https://t.co/BGVQ3qe6xG,1.57849E+18,0,2,Twitter for iPhone,loonaverse ☆ neocity
2022-10-07 20:30:57+00:00,justinlamont_,Bruhh Starbucks barista completely gave me the wrong drink😭😭😭😭☹️☹️☹️ it was supposed to be a brown sugar oatmilk es… https://t.co/3GIZJn06G4,1.57848E+18,0,7,Twitter for iPhone,"PA,US/🔞+ LOVE YOU ALL!!!🥺❤️"
2022-10-07 20:02:22+00:00,IsiahMagsino,"the aesthetic is regurgitated — sorry. If it were a neighborhood, it’d be Park Slope or Boerum Hill if you know wha… https://t.co/ocHo0RJMfg",1.57848E+18,0,3,Twitter for iPhone,"New York, NY"
2022-10-07 19:53:53+00:00,Onlylowercase_,"@DadchiNSFW Duly noted on the brown sugar thing! 

Black tea with orange slices sounds really good?? I like hardly… https://t.co/R7et8w10ws",1.57847E+18,0,0,Twitter for Android,USA
2022-10-07 19:51:21+00:00,paig_edaa,"if you told me a year ago that i’d be out of the closet with the sweetest gf ever, my favorite starbucks drink is a… https://t.co/ZK2f8KLYsT",1.57847E+18,0,1,Twitter for iPhone,"Albuquerque, NM"
2022-10-07 19:22:35+00:00,SigThaMajestic,"Okay, let's do this.

Height: 6ft
Zodiac: Scorpio ♏️
Tattoos: 0
Favorite Color: Let me add 2 lol. Black and blue
Fa… https://t.co/vyPfqDCHui",1.57847E+18,0,5,Twitter for Android,"TX, USA"
2022-10-07 19:15:33+00:00,terramatcha,"✨cheers! ✨⁠
⁠
what better way to drink #matcha than at a picnic with friends? take our organic ceremonial matcha to… https://t.co/8uCpxs4FlW",1.57846E+18,0,0,LaterMedia,"Gardena, CA"
2022-10-07 19:12:15+00:00,francineyaffe,I drink a nice iced matcha drink when I fuck ur mom,1.57846E+18,0,1,Twitter for iPhone,
2022-10-07 19:11:18+00:00,SUHWONU,they couldn’t have just done the matcha lemonade drink like they did for the sticker boba truck thing 😭,1.57846E+18,1,12,Twitter for iPhone,black | multi | 20 | she/her
2022-10-07 18:27:52+00:00,abujibrilqubays,"-told to drink matcha bc it helps lose weight-
-$54 for 3 ounces-",1.57845E+18,0,0,Twitter Web App,
2022-10-07 18:15:16+00:00,lit_falafel,Drove all the way from hamad town to muharraq just to drink a shitty matcha smh,1.57845E+18,0,2,Twitter for iPhone,
2022-10-07 18:00:41+00:00,asianting_,"All Kourtney Kardashian does is drink matcha lattes, look hot and make out with her man that adores her. I wish this life on all of us 😍",1.57845E+18,0,1,Twitter for iPhone,Somewhere overthinking 💭
2022-10-07 17:55:26+00:00,bitchpudding_o,Been drinking iced matcha with honey and oat milk since I’m tryna stay off the coffee and now I wanna drink that al… https://t.co/dnzBVkJ2bm,1.57844E+18,0,0,Twitter for iPad,
2022-10-07 17:54:46+00:00,analgesicks,@defparadoxx because i can and no one was stopping me and the matcha latte was literally screaming for me to drink it 😩 twas worth it 👌,1.57844E+18,0,0,Twitter for Android,oa . rcbyf . n/sfw
2022-10-07 17:46:34+00:00,RunawayDragons,@dunkindonuts your new rewards program is terrible. I don't drink coffee. Your tea is pretty terrible. The one thin… https://t.co/LNFvzrbgxB,1.57844E+18,0,0,Twitter for Android,"New England, USA, Earth"
2022-10-07 17:31:56+00:00,mirroringball,got matcha since i’m trying not to drink so much coffee and forgot i had bought an iced brown sugar shaken expresso half an hour earlier 😭,1.57844E+18,0,0,Twitter for iPhone,#슈가 — 21
2022-10-07 16:54:08+00:00,jus_jus21,aint gonna drink matcha anymore,1.57843E+18,0,0,Twitter for Android,
2022-10-07 16:49:24+00:00,reflectivelemnt,"get some type of bottle , use hot water , matcha &amp; honey to a 1/3 full , shake very well , fill up w oat milk, shak… https://t.co/WdBdk6OLm5",1.57843E+18,0,5,Twitter for iPhone,
2022-10-07 15:59:58+00:00,serrnada,"Gw bacanya:
Matcha.
Enjoy your F* drink😭😭😭 https://t.co/KqzpeaBhKy",1.57841E+18,0,0,Twitter for Android,
2022-10-07 15:59:22+00:00,slicKEst_,I love me a good matcha drink 💚 https://t.co/wGTNj4a97N,1.57841E+18,0,0,Twitter for iPhone,Chicago 
